query,working_ips,broken_ips,working_types,broken_types,working_rcodes,broken_rcodes,note
crl.edge.digicert.com,,,,,,,No difference detected
crl3.digicert.com,,,,,,,No difference detected
csdm-r.wbx2.com,,,,,,,No difference detected
csi.gstatic.com,,,,,,,No difference detected
ctldl.windowsupdate.com,,,,,,,No difference detected
cws-sjc2-rdc2.conviva.com,,,,,,,No difference detected
cws.conviva.com,,,,,,,No difference detected
d.applovin.com,,,,,,,No difference detected
d1jvc9b8z3vcjs.cloudfront.net,,,,,,,No difference detected
d2xvo51pr40ne7.cloudfront.net,,,,,,,No difference detected
d3t2yxw1bfe573.cloudfront.net,,,,,,,No difference detected
data.grammarly.com,,,,,,,No difference detected
dc.services.visualstudio.com,,,,,,,No difference detected
dcg.microsoft.com,,,,,,,No difference detected
default.exp-tas.com,,,,,,,No difference detected
det-ta-g7g.amazon.com,,,,,,,No difference detected
developer-applications-r.wbx2.com,,,,,,,No difference detected
device-metrics-us-2.amazon.com,,,,,,,No difference detected
devicelistenerprod.microsoft.com,,,,,,,No difference detected
dgw.c10r.facebook.com,,,,,,,No difference detected
directory-search-r.wbx2.com,,,,,,,No difference detected
disc601.prod.do.dsp.mp.microsoft.com,,,,,,,No difference detected
displaycatalog-rp.md.mp.microsoft.com.akadns.net,,,,,,,No difference detected
displaycatalog.mp.microsoft.com,,,,,,,No difference detected
dl.delivery.mp.microsoft.com,,,,,,,No difference detected
dls.di.atlas.samsung.com,,,,,,,No difference detected
dms-mc.v.vonageservices.com,,,,,,,No difference detected
dns.google,,,,,,,No difference detected
docs.google.com,,,,,,,No difference detected
dp-discovery-na-ext.amazon.com,,,,,,,No difference detected
drafts-r.wbx2.com,,,,,,,No difference detected
drivefrontend-pa.googleapis.com,,,,,,,No difference detected
ds.ciscospark.com,,,,,,,No difference detected
dual-s-ring-fallback.msedge.net,,,,,,,No difference detected
dual-s-ring.msedge.net,,,,,,,No difference detected
dualstack.guardian.map.fastly.net,,,,,,,No difference detected
dvngqx971z8e6.cloudfront.net,,,,,,,No difference detected
e10370.d.akamaiedge.net,,,,,,,No difference detected
e12358.d.akamaiedge.net,,,,,,,No difference detected
e12437.d.akamaiedge.net,,,,,,,No difference detected
e12564.dspb.akamaiedge.net,,,,,,,No difference detected
